Scheme Name,URL,Benefits
"Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence","https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd","Benefits
Items Admissible for Assistance
Construction of a building or extension of existing buildings, or rent of the building where the service is provided (staff quarters are excluded, except in the case of wardens, chowkidar, etc.).
Salaries and allowances of staff; minimal administration support can also be considered.
Cost of equipment, furniture, etc.
Charges related to the delivery of the service (education, training, food, etc.).
Stipends, etc., in the case of trainees.
Other charges as may be necessary for the proper operation of the program.

Norms of Financial Assistance
Financial assistance will be provided up to 90% of the approved cost, covering both recurring and non-recurring expenditures.
The remaining 10% of the cost should be covered by the voluntary agency or any other organization, with a preference for the voluntary organization itself.
In cases where an organization operates in a relatively new area where both voluntary and government efforts are limited but the demand for the service is substantial, the government may cover 100% of the cost.
Building Grant Limitation: In the case of building grants, the government grant will be limited to ₹10,00,000.
Non-Recurring Grant-in-Aid Ceiling: Regarding non-recurring grant-in-aid under the scheme, a ceiling of ₹10,00,000 per annum per project shall be applicable.

Benefits for Staff
Expenditure on Staff
Project Director: ₹8,400 per month
Social Worker: ₹4,200 per month
Doctor (part-time): ₹6,000 per month
Compounder/Nurse: ₹3,000 per month
Vocational Trainer: ₹4,200 per month
Driver: ₹1,800 per month
Peon/Sweeper/Watchman etc.: ₹2,000 per month
Maintenance of Beneficiaries
Diet Charges (Per Person per month): ₹600
Bedding material (Per person): ₹600 (non-recurring)
Uniform/Clothing (per person per annum) : ₹1,000
Washing charges (per person per month): ₹150
Books & Stationery (per person per annum): ₹400
Water & Electricity charges (Per annum): ₹6,000"
"Jeevanam Self-Employment Scheme To Dependents Of Crime Victims","https://www.myscheme.gov.in/schemes/js-esdcv","Benefits
Under the scheme, financial assistance of ₹20,000/- will be provided as one-time assistance to the eligible beneficiary.
Note: The amount will be transferred to the respective applicant’s bank account."
"Nari Niketans","https://www.myscheme.gov.in/schemes/nn","Benefits
The inmates are provided care and protection in the institutions. 
Besides food, shelter, bedding & clothing are also provided. 
For school-going destitute girls free education is provided in addition to other facilities. 
The children accompanying the mothers will be entitled to admission subject to the condition that male children after they attain the age of 8 years shall be transferred to Bal Ashrams.
The inmate shall remain in the institution till they are rehabilitated/get married/ covered under any schemes for employment and self-employment."
"Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana","https://www.myscheme.gov.in/schemes/akgbcsy","Benefits
Unorganized workers can receive up to ₹ 50,000 in medical assistance to help cover the cost of treating kidney, cancer, sickle cell anemia, heart disease, AIDS, and paralysis. 
If the actual cost of treatment is less than ₹ 50,000, they will only receive the actual cost of treatment."
"Airavata Scheme","https://www.myscheme.gov.in/schemes/airavata","Benefits
Beneficiary: Unemployed youth
 The beneficiaries will get up to rupees 5 lakh subsidy and financial help from the government side.
The Karnataka government will cover around 1000 SC/ST Taxi drivers and this Airavata scheme.When other state social welfare department dr. Bhimrao Ambedkar Development Corporation can work together with the government to provide the full benefit of the SC-ST community.
This will help people to become self-dependent and provide the opportunity of employment.
Due to covid-19 who have lost their jobs can now become an entrepreneur.
Karnataka Airavata Taxi scheme uh uh often the opportunity of self-employment for poor peoples.
The government will invest around 225 crore rupees in this Yojana.
The Madiga and its related community in Karnataka will be able to make their life more secure.
The beneficiaries will get a 50% subsidy on the scheme.
The remaining money should be arranged by the applicants."
"Reimbursement of Stamp Duty and Registration Charges","https://www.myscheme.gov.in/schemes/rsdarc","Benefits
50% reimbursement of stamp duty and Registration charges paid to the Registration department on the purchase of land meant for industrial use."
"Support for Value Addition - Support to R&G units","https://www.myscheme.gov.in/schemes/icdpsva-srgu","Benefits
Roasting Units, Gourmet roasting units 1Kg to <10Kg/batch, and small roasting units with a capacity of less than 25 kg capacity are eligible for subsidy support of 40% of the machinery cost with a ceiling of ₹10,00,000.
For the SHGs, women entrepreneurs, SC/ ST, Minorities, and differently-abled beneficiaries, subsidy support is @50% of the machinery cost with a ceiling of ₹10,00,000.
Support for gourmet roaster units would enable the roasting of specialized blends in smaller quantities. This may also help to encourage a large number of small players/ new entrepreneurs to take up this venture in non-traditional coffee-drinking areas.

Disbursement of subsidy
The subsidy shall be released to the applicant’s bank account through PFMS in cases where the application is complete in all respects and only after approval of the post-installation inspection report submitted by the Coffee Quality Division, Coffee Board, Bengaluru."
"MANAGE Internship Programme","https://www.myscheme.gov.in/schemes/mip","Benefits
Stipend
For 3 months Internship Programme
₹ 10,000/- per month with free boarding and lodging.
For 6 months Internship Programme
₹ 35,000/- per month."
"Laadli Laxmi Scheme","https://www.myscheme.gov.in/schemes/lls-g","Benefits
For Unmarried Beneficiaries (beneficiaries who attain the age of majority i.e. 18 years on or after 01-04-2012)
Financial Assistance of ₹ 1,00,000, by means of a bank fixed deposit, jointly in the name of the Director (DoWCD) and the applicant.
The fixed deposit shall be renewed annually automatically on maturity, along with the amount of interest accrued, till the date of claim by the applicant as per the scheme or until the age of 45 years whichever is earlier.

For Married Beneficiaries ( beneficiaries who have already attained the age of 18 years before 01-04-2012 and are in the age group of 19 to 45 years prospectively from 1st April, 2016)
Financial Assistance of ₹ 1,00,000., by means of cash payment."
"Distress Relief Fund For The Differently Abled (Medical Treatment)","https://www.myscheme.gov.in/schemes/drfdamt","Benefits
Under the scheme, financial assistance of ₹5,000/- per person in a year will be given to the disabled person or who has become handicapped for their medical treatment, including surgery."
"Atma Nirbhar Bagwani Yojana","https://www.myscheme.gov.in/schemes/anby","Benefits
    Atmanirbhar Bagwani Yojna is basically meant for the cultivation of fruits like apples, walnut, orange, kiwi, and persimmon. 

    The line of credit will be provided by the State Bank Of India, Arunachal Pradesh Rural Bank, and Arunachal Pradesh Cooperative Apex Bank. 
    45 percent will be given by the government subsidy, 45 percent as bank loan and 10 percent will be contributed by the farmer.
    There is no collateral for loans up to Rs 1.60 lakh.
    For SHGs, no collateral is needed up to Rs 10 lakhs."
"Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna","https://www.myscheme.gov.in/schemes/mnssby","Benefits
The amount of self-help allowance will be paid to the eligible applicant at the rate of Rs.1000 per month for a maximum period of two years."
"AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma)","https://www.myscheme.gov.in/schemes/sak-dip","Benefits
₹50,000/- per annum for every year of study i.e. maximum 3 years for the first year admitted students and maximum 2 years for the second year admitted students through lateral entry as lump sum amount towards payment of college fee, purchase of computer, stationeries, books, equipment, software, etc.
After selection, the awardee will be paid a scholarship through DBT mode on annual basis.
The scholarship will be renewed for the next year of study on receipt of renewal through National Scholarship Portal by submitting a passing certificate/ mark sheet along with a letter from the Head of the Institution on the online portal"
"Junior Research Fellowship (JRF) And Research Associateship (RA) For Foreign Nationals","https://www.myscheme.gov.in/schemes/jrfrafn","Benefits
NATURE OF ASSISTANCE
The number of slots available under the scheme is 20 for Junior Research Fellowship (JRF) and 7 for Research Associateship (RA).
The tenure of these awards is four years (Non-extendable) for both JRF and RA.

Financial Assistance for JRF -  
Fellowship 
@ Rs. 12,000/-p.m. for an initial period of two years.
@ Rs. 14,000/-p.m. for the remaining period subject to the recommendation for enhancement/extension by a three-member committee and the Commission’s approval for  Sciences for initial two years.
Contingency - 
@ Rs.12,000/-p.a. for Science 
@ Rs.10,000/-p.a. for Humanities and Social Sciences 
@ Rs.25,000/-p.a. for the remaining period for Sciences 
@ Rs.20,500/-p.a. for the remaining period for Humanities 
Department @ Rs. 3,000/-p.a. -- per JRF Assistance 
Escort @ Rs. 2,000/-p.a. -- per JRF 
Handicapped Allowance 
HRA as per the rule of the concerned institution 

Financial Assistance for RA - 
Fellowship @ Rs. 16,000/-p.m. (Fixed) for 4 years 
Contingency @ Rs. 30,000/-p.a. 
Departmental @ 10% of Associateship to the host institution for providing Assistant infrastructural facilities. 
HRA as per the rule of the concerned institution.

*****

HRA
(i)   Suitable single-seated hostel accommodation in the institutions may be provided to the JRF, failing which HRA as per rules of the university/institution will be paid to the Fellow subject to the submission of the HRA certificate through Registrar/Principal. 
(ii)  JRF/RA provided with accommodation in a hostel recognized/maintained by the institutions may be reimbursed the hostel fee, excluding mess, electricity, water charges, etc. 
(iii)   A certificate to this effect is to be furnished through the Registrar/Principal (Annexure I). 
(iv)   If JRF/RA makes his/her own arrangements of accommodation, he/she may be entitled to draw HRA as per the categorization of cities by the Government of India. 
(v)   The Fellow will submit a certificate for this purpose to UGC for claiming HRA through the concerned university/institution/college. 

Medical
No separate/fixed medical assistance is provided. However, the JRF/RA may avail of the medical facilities available in the institutions/university. 

Leave 
(i)   Leave for a maximum period of 30 days in a year in addition to public holidays may be taken by a fellow with the approval of the supervisor. However, they are not entitled to any other vacations, for example, summer, winter, and pooja vacations. Women awardees are eligible for maternity leave at full rates of the fellowships for 135 days as per Government of India rules once during the tenure of their award. 
(ii)   The awardee may in special cases be allowed by the Commission leave without fellowship/associateship and contingency for a period not exceeding three months during the tenure of the award on the recommendation of the supervisor/Head of the department of the institution concerned. The period of leave without fellowship/associateship will be counted towards the tenure."
"Industry Linked Biotechnology Research Scheme","https://www.myscheme.gov.in/schemes/ibrs","Benefits
Financial assistance in the form of a grant of ₹40 lakhs excluding overhead cost and industry share (25%) for a period of three years shall be provided to Scientists and Technologists of R&D Centers/academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health and environment.
In addition, the host institution will be eligible for an overhead @ 10% of total expenditure subject to a ceiling of ₹2 lakh.
Note: Under the scheme, the industrial collaborator who is willing to share 25% of funds additionally, a clear statement needs to be submitted along with an endorsement from the Head of the organization and should clearly mention the extent of financial support and break-up of the budget."
"Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification","https://www.myscheme.gov.in/schemes/cdpnerqucsecoc","Benefits
Scale of Subsidy
For Organic Certification: 75% of the certification cost spread over 3 years or the Conversion period, whichever is less during the MTF period.
For Other Eco-Certifications: 75% of the certification cost for one year during the MTF period.
NOTE: This incentive is provided only as backend support for those who obtain certification of their estates. However, in the case of organic certification, the costs incurred towards certification during in-conversion period are also eligible for support."
"NSAP - Indira Gandhi National Old Age Pension Scheme","https://www.myscheme.gov.in/schemes/nsap-ignoaps","Benefits
A monthly pension of ₹ 200 up to 79 years and ₹ 500 thereafter."
"Shram Kalyan Shaikshanik Chatravriti Yojana","https://www.myscheme.gov.in/schemes/skscy","Benefits
The scholarship is provided to the students studying From the class 5th to 12th, Graduation, Post Graduation, ITI, Polytechnic, PGDCA, DCA (Computer Course), B.E., M.B.B.S."
"Jai Johar (Old Age Pension) Scheme","https://www.myscheme.gov.in/schemes/jjoaps","Benefits
A monthly pension of ₹1,000/- is transferred directly to the individual bank account of the beneficiary."
"Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person","https://www.myscheme.gov.in/schemes/admptpfdap","Benefits
A sum of Rs.6,000/- @ Rs.1,000/- per month for delivery and Rs.3,000 for miscarriage/termination of pregnancy is given to a female differently abled person."
"Innovation In Science Pursuit For Inspired Research (INSPIRE) - Faculty Fellowship","https://www.myscheme.gov.in/schemes/inspire-ff","Benefits
Amount
Each selected INSPIRE Faculty Fellow will be eligible to receive a consolidated amount of ₹1,25,000/- per month as a fellowship with an annual increment of ₹2,000/-. 
In addition, a Research Grant of ₹7,00,000 every year for 5 years will also be provided to each successful candidate including the carry-forward amount, if any, from the previous year. 
The consolidated amount of ₹1,25,000/- per month is an all-inclusive fellowship and taxable as per the Indian IT Act.

Duration
The INSPIRE Faculty Fellowship is for a maximum period of 5 (five) years."
"Goa Village & Municipal Child Committee Grants And Awards Scheme","https://www.myscheme.gov.in/schemes/gvmccgs","Benefits
Amount: An annual financial grant of ₹ 10,000/- towards administrative expenses incurred on organizing the activities of the Committee.
Instalments: The grant will be released in a single instalment within three months. 
Mode: All payments will be made only through electronic transfers favouring the local body concerned."
"Scholarship For Transgender Students","https://www.myscheme.gov.in/schemes/sts","Benefits
Financial assistance is being provided to Transgender students on the following basis:
For Transgender students from 7th std. to 10th std.:  ₹1000/- per month for 10 months
For Transgender students studying in Plus One & Plus Two:  ₹1500/- per month for 10 months
For Transgender students pursuing Diploma, Degree, Post-Graduation, or Professional courses:  ₹2000/- per month for 10 months"
"Junior Research Fellowship","https://www.myscheme.gov.in/schemes/jrfbio","Benefits
The fellowship amount for the JRF program is ₹31,000 per month for the first two years and ₹35,000 per month for the remaining three years."
"Indira Gandhi National Old Age Pension Scheme - Sikkim","https://www.myscheme.gov.in/schemes/ignoaps-sikkim","Benefits
A monthly pension of ₹ 1500/- to the old aged person between the age group of 60 years – 69 years.
A monthly pension of ₹ 2000/- to the old aged person between the age group of 70 years + and above.
A monthly pension of ₹ 2500/- to the old aged persons having attained the age of 80 years and above.
The beneficiary will get a pension as long as he/she is alive."
"Mukhyamantri Mahila Utkarsh Yojana","https://www.myscheme.gov.in/schemes/mmuy","Benefits
Benefits
Interest-Free Loans: Women entrepreneurs can avail of interest-free loans of up to Rs. 1 lakh to start or expand their businesses. The loans are provided without any collateral security.
Subsidy: The government also provides a subsidy of 6% per annum to women entrepreneurs who repay their loans on time.
No Processing Fee: The scheme does not charge any processing fee for the loan application.
Repayment Period: The repayment period for the loan is up to 5 years, giving entrepreneurs sufficient time to repay the loan.
Skill Development: The scheme provides training and skill development programs to women entrepreneurs to help them build their business acumen and enhance their knowledge of entrepreneurship.
Employment Generation: The scheme promotes the creation of employment opportunities for women in the state, leading to the overall economic growth of the state.
Financial Independence: The scheme empowers women entrepreneurs and enables them to become financially independent, contributing to their personal and professional growth.
No Income Limit: There is no income limit for women entrepreneurs to apply for the scheme, making it accessible to women from all income groups."
"ASEAN-India Research Training Fellowship","https://www.myscheme.gov.in/schemes/ai-rtf","Benefits
1.  Full financial assistance will be provided to the selected Fellows which includes the following:-
a) Round trip international airfare by lowest economy class and by the shortest route from the international airport in the home country of the applicant to the international airport nearest to the host institution in India; visa fees, overseas medical insurance, etc.
b)  A consolidated Fellowship amount of Indian Rupees (INR) 60,000/- per month.
c) One-time grant of INR 40,000/- as research contingency expenses, airport transfers, domestic travel for attending scientific /events, and field trips within India.
d) Institutional overhead charges @ INR 2,500/- per month.
e) The allowance as in (a), (b) & (c) will be released to the host institution in India for disbursement to the Fellow. The host Institution will arrange appropriate accommodation for the Fellow on a payment basis.
2. The selected Fellow is advised to take an appropriate policy for health insurance coverage for the period of stay in India. The cost of obtaining an overseas insurance policy is covered and reimbursable under AISTDF.
3.  Individual Fellow, or his/ her government/institution, is required to bear the following costs:
a) All expenses in the home country incidental to travel abroad, including expenditure incurred to obtain passport and visa and for medical examinations and vaccinations as may be required as well as other miscellaneous expenses such as internal travel to/ from the international airport of departure in the home country.
b) Salary and other related allowances in the home country, if applicable, during the Fellowship period.
4. Neither the AISTDF nor the host institution in India will assume any responsibility whatsoever for the following expenditure of the Fellows during the tenure of the Fellowship:
a) Compensation in the event of death, disability, or loss of personal belongings or compensation for damage caused by climatic or other conditions.
b) Travel and other costs incurred by the dependents, who might accompany the Fellows."
"Promotion of Energy Audit and Conservation of Energy (PEACE): Incentive for Implementing Energy Audit Recommendations","https://www.myscheme.gov.in/schemes/peaceifiear","Benefits
50% of the cost of eligible components, subject to a maximum limit of ₹ 10,00,000/ -.
Investments made after the energy audit alone will be eligible for the subsidy.
*The overall ceiling on subsidy should not be applied for the original energy audit and subsequent energy audit taken together but should be applied separately for the original energy audit and the subsequent energy audit.

Time of Disbursal
The subsidy will be released to the MSME after the implementation of the recommendations in the Energy Audit Report that is duly certified by the energy auditor.
*If the unit has availed a loan for the implementation of the recommendations of the energy audit, the subsidy will be released to the bank to adjust in the loan account if the loan is in currency."
"Scholarships to Students with Disabilities Scheme","https://www.myscheme.gov.in/schemes/ssds-punjab","Benefits
1. Under this scheme, scholarship @ ₹200/- per month per Student with Disability for education for class 1st to 8th.
2. Scholarship @₹300/- per month per the student with Disability for education/training from 9th Class onwards.
Note: The Directorate shall credit the scholarship online in the bank account of the student."
"Stipend to Scheduled Caste Trainees in Technical Training Institutions","https://www.myscheme.gov.in/schemes/sscttti","Benefits
1. Under this scheme, a stipend is paid at the rate of ₹170/- per month per trainee for the whole period of training."
"Post Graduate Indira Gandhi Scholarship For Single Girl Child","https://www.myscheme.gov.in/schemes/pg-igssgc","Benefits
Nature of Assistance Available Under the Scheme
Amount of fellowship: ₹36,200/- per annum for a period of two years only i.e. full duration of a PG course.
3,000 fresh scholarships will be awarded every year and will be paid on DBT mode on annual basis.

Note
No other additional grant will be payable in lieu of hostel charges and medical charges, etc."
