Scheme Name,Eligibility,URL,Region,Tags
Scheme of Assistance for the Prevention of Alcoholism & Substance (Drugs) Abuse and for Social Defence Services: General Grant-in-Aid Programme for Financial Assistance in the Field of Social Defence,"['The organization should have at least two years of experience working in the related area or demonstrate competence to undertake the proposed scheme.', 'It should not be operated for profit for any individual or body of individuals.', 'It should have a properly constituted Managing Body with its powers, duties, and responsibilities clearly defined and laid down in a written constitution.', 'The following types of organizations or institutions are eligible:', '(a) A Society registered under the Indian Societies Registration Act, 1860 (Act XXI of 1860); or', '(b) A charitable non-profit-making company;', '(c) A Public Trust registered under any law for the time being in force; or', '(d) Any registered non-official organization engaged in the conduct and promotion of social welfare.', '(e) Universities, research institutes, schools, statutory bodies like Panchayati Raj Institutions, Municipal Corporations, Town Area Committees, Red Cross Societies and their branches.', '\ufeff', 'The organizations/institutions specified in points (a) to (e) should possess the following characteristics:']",https://www.myscheme.gov.in/schemes/sapaandsdasdsggiapfafsd,Ministry Of Social Justice and Empowerment,"Financial Assistance, Grant, Rehabilitation, Social Defence"
Jeevanam Self-Employment Scheme To Dependents Of Crime Victims,"['The applicant should be a native and resident of Kerala State.', 'The applicant must be either the person who has been seriously injured in a crime or must be a dependent - Wife/Husband/Unmarried son or daughter of the victim of the crime.', 'The annual income of the family should not exceed ₹1,00,000/-.', 'The applicant should have applied within 5 years of the crime.', 'The applicant should be a native and resident of Kerala State.The applicant must be either the person who has been seriously injured in a crime or must be a dependent - Wife/Husband/Unmarried son or daughter of the victim of the crime.The annual income of the family should not exceed ₹1,00,000/-.The applicant should have applied within 5 years of the crime.Note:The beneficiary selected for the grant–in–aid is required to execute an agreement with the Department of social justice on a stamp paper of ₹200/- to meet the above criteria.', 'Note:The beneficiary selected for the grant–in–aid is required to execute an agreement with the Department of social justice on a stamp paper of ₹200/- to meet the above criteria.']",https://www.myscheme.gov.in/schemes/js-esdcv,Kerala,"Breadwinner, Dependent, Financial Assistance, Self-Employment, Victim"
Nari Niketans,"['The applicant should be a citizen of India.', 'The applicant should be a domicile / permanent resident of the state of Jammu & Kashmir.', 'The applicant should be a Female.', 'The applicant should be deserted /destitute / widow.', 'The applicant should not have any means of livelihood.', 'The children accompanying the mothers will also be entitled to admission subject to the condition that male children after they attain the age of 8 years shall be transferred to Bal Ashrams.']",https://www.myscheme.gov.in/schemes/nn,Jammu and Kashmir,"Destitute, Rehabilitation, Shelter, Social Welfare, Widow"
Asangathit Karmakar Gambhir Bimari Chikitsa Sahayata Yojana,"['The applicant must be registered with the State Board for at least 90 days.', 'The applicant must be between the ages of 18 and 60.', 'The applicant must be registered as a beneficiary of unorganized workers under Section 10 of the Act.']",https://www.myscheme.gov.in/schemes/akgbcsy,Chhattisgarh,"Financial Assistance, Medical Treatment, Serious Illness"
Airavata Scheme,"['1. The applicant should belong to the Scheduled caste community', '2. The applicant should be a resident of Karnataka', '3. The applicant should be above 21 years of age', '4. The applicant must hold a valid driving license and a cab badge', '5. The applicant’s family annual income should not exceed Rs. 5,00,000/-', '6. Applicant will be considered ineligible if they/their family member has earlier availed a subsidy from the Corporation/Government of Karnataka exceeding Rs.1,00,000.', '7. The selection of applicants will be based on merit and merit will be decided upon parameters such as Age, Education qualification, cab badge and years of driving experience']",https://www.myscheme.gov.in/schemes/airavata,Karnataka,
Reimbursement of Stamp Duty and Registration Charges,"['\ufeff', 'Know Your Eligibility for this Schemehere\ufeff']",https://www.myscheme.gov.in/schemes/rsdarc,Tamil Nadu,"Business, Enterprise, MSME, Reimbursement"
Support for Value Addition - Support to R&G units,"['The applicants should be individual units, Partnership firms, self-help groups (SHG)/ Growers’ collectives interested in establishing coffee roasting units.', 'The Scheme is applicable only for the establishment of new R&G units.', 'The applicant’s unit must hold a valid business license from the respective statutory authorities.', '\ufeff', 'For New R&G Units: The roasting, grinding, and packaging machinery in any of the following combinations are eligible for subsidy -', 'a) Roasting machine, grinding machine, and packaging machine.', 'b) Roasting machine and packaging machine.', 'c) Grinding machine and Packaging machine', 'The Subsidy scheme is not applicable for similar machinery or for more than one (Roasting, Grinding and Packaging) machinery of each type/ kind.', '\ufeff', 'Applications are considered on a first-come, first-served basis, provided they are complete and subject to fund availability.']",https://www.myscheme.gov.in/schemes/icdpsva-srgu,Ministry Of Commerce And Industry,"Agriculture, Direct Benefit Transfer, Farmer, Financial Assistance, Subsidy"
MANAGE Internship Programme,"['The applicant should have completed/ongoing PhD or M.Sc in Extension Education/ Economics/ Sociology/ Psychology/ MSW/ Journalism/ Communication/ Environmental Science.', 'The applicant should have secured an OGPA of a minimum of 8 out of 10 (minimum 80%).', 'The applicant should have fluency in English.', 'The applicant should have good writing skills.']",https://www.myscheme.gov.in/schemes/mip,Ministry Of Agriculture and Farmers Welfare,"Agriculture, Environment, Internship, Management, Student"
Laadli Laxmi Scheme,"['The applicant should be a Girl.', 'The applicant should be born in the State of Goa OR should be a resident of Goa for the last fifteen years.', 'In case, the applicant is a resident of Goa for the last fifteen years, she should have been educated in Goa for a minimum period of 7 years (continuous).', 'The parental income of the applicant does not exceed ₹ 3,00,000 per annum.', 'The applicant should qualify for ANY ONE of the following three criteria:', 'a)   At least one of the parents of the applicant is born in Goa and is also a resident of Goa for the last fifteen years.', 'b)   One of the parents of the applicant is residing in Goa for the last twenty-five years.', '\ufeff', 'NOTE:In case the applicant is an affected person of Tillari Irrigation Project (a joint venture of the Government of Goa and the government of Maharashtra) and was rehabilitated in the State of Goa, her application shall be sanctioned if she produces a certificate issued by the Collector, North Goa District relaxing the condition of 10/15 years domicile in the State of Goa for various purposes for her family.']",https://www.myscheme.gov.in/schemes/lls-g,Goa,"Financial Assistance, Girl, Marriage, Social Welfare"
Distress Relief Fund For The Differently Abled (Medical Treatment),"['The applicant should be a native and resident of Kerala State.', 'The disabled person or who has become handicapped due to an accident is eligible to apply under the scheme for their medical treatment, including surgery.', 'Those differently-abled persons whose annual income does not exceed (₹20,000/- in Rural areas and ₹22,375/- in Urban areas) shall be eligible for financial assistance.', 'Physically handicapped persons shall include the following disabilities/categories:', 'a. Blind', 'b. Deaf and Dumb', 'c. Orthopedically Handicapped', 'd. Mentally Challenged', 'e. Persons in the Below Poverty Line (BPL) category having 40 % disability or more.']",https://www.myscheme.gov.in/schemes/drfdamt,Kerala,"BPL, Differently Abled, Distress, Financial Assistance, Handicap, Medical Treatment, PwD"
Atma Nirbhar Bagwani Yojana,['The scheme is focused on the residents and farmers of Arunachal Pradesh.'],https://www.myscheme.gov.in/schemes/anby,Arunachal Pradesh,"Farmers, Subsidy, Umbrella Scheme"
Mukhyamantri Nischay Swayam Sahayata Bhatta Yojna,"['From the age group of 20 to 25 years, unemployed young men/women who are not studying and are looking for employment and whose educational qualification is inter (12th) passed from a government-recognized institution located in the state but Have not received higher education.', 'The applicant should be a permanent resident of the district of Bihar state, where he is submitting the application in the district registration centre.', 'The applicant should not have received any kind of allowance/scholarship/student credit card/education loan or any kind of assistance from any other source.', 'The applicant should not get any type of government or non-government employment (contract/permanent/ temporary).', 'The applicant should not be self-employed.', 'The day the applicant gets permanent/temporary employment or self-employment, his eligibility for allowance given under this scheme will end and accordingly, the payment of allowance will be stopped as soon as information is received from him.', 'Unemployed youth/women applying for the amount of self-help allowance will have to compulsorily get training in language communication and basic computer knowledge (skilled youth program) conducted by Labor Resources Department and they will get a total amount of self-help allowance for the last 5 months will not be released until they successfully surrender the certificate of the said training.', 'From the age group of 20 to 25 years, unemployed young men/women who are not studying and are looking for employment and whose educational qualification is inter (12th) passed from a government-recognized institution located in the state but Have not received higher education.The applicant should be a permanent resident of the district of Bihar state, where he is submitting the application in the district registration centre.The applicant should not have received any kind of allowance/scholarship/student credit card/education loan or any kind of assistance from any other source.The applicant should not get any type of government or non-government employment (contract/permanent/ temporary).The applicant should not be self-employed.The day the applicant gets permanent/temporary employment or self-employment, his eligibility for allowance given under this scheme will end and accordingly, the payment of allowance will be stopped as soon as information is received from him.Unemployed youth/women applying for the amount of self-help allowance will have to compulsorily get training in language communication and basic computer knowledge (skilled youth program) conducted by Labor Resources Department and they will get a total amount of self-help allowance for the last 5 months will not be released until they successfully surrender the certificate of the said training.']",https://www.myscheme.gov.in/schemes/mnssby,Bihar,"Financial Assistance, Skilled Youth Program, Social Welfare, Unemployment"
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),"['The candidate should be admitted to the First year of the Diploma level course OR the Second year of the Diploma level course through lateral entry in any of the AICTE-approved institutions of the respective year.', 'Specially-abled students have a disability of not less than 40%.', 'Family income from all sources should not be more than Rs. 8 lakh per annum during the current financial year. A valid income certificate issued by State /UT Government needs to be enclosed.']",https://www.myscheme.gov.in/schemes/sak-dip,Ministry of Education,"PwD, Scholarship"
Junior Research Fellowship (JRF) And Research Associateship (RA) For Foreign Nationals,"['Target Group:Students and teachers from developing countries of Asia/Africa and Latin America.', '\ufeff', 'For Junior Research Fellowship (JRF):35 years for male candidates as of 1st July of the year of application and 40 years for female candidates. The candidates must have at least a high-class master’s degree with a second-class bachelor’s degree or a second-class master’s degree with a first-class bachelor’s degree.', '\ufeff', 'For Research Associateship (RA):In the case of male applicants the age should be 40 years as of 1st July of the year of application, and 45 years in the case of female candidates. The candidates must have a doctorate degree, published research work to their credit, and evidence of independent research work.']",https://www.myscheme.gov.in/schemes/jrfrafn,Ministry of Education,"Fellowship, Foreign, Research"
Industry Linked Biotechnology Research Scheme,"['The applicants should be the Scientists and Technologists of R&D Centers/Academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment.', 'The proposals need to be submitted in active collaboration with an industry in which the industrial partner is willing to share 25% of the Kerala Biotechnology Commission allocated funds additionally.', 'The applicants should be the Scientists and Technologists of R&D Centers/Academic Institutions/Organizations actively involved in biotechnological research with emphasis on areas relating to marine, agriculture, health, and environment.The proposals need to be submitted in active collaboration with an industry in which the industrial partner is willing to share 25% of the Kerala Biotechnology Commission allocated funds additionally.']",https://www.myscheme.gov.in/schemes/ibrs,Kerala,"Biotechnology, Grant, Industry, Research, Scientist, Technologist"
Coffee Development Programme in North Eastern Region: Quality Upgradation / Certification: Support for Eco-Certification / Organic Certification,"['The applicants should be SHGs/collectives of tribal growers who obtain certification of their plantations for various sustainability and quality standards.', 'The applicant can access support only for certification of estates as per Organic, Fair Trade, Rainforest Alliance, UTZ Certified, Bird friendly/Shade grown coffee standards, or any other certification programs equivalent to the above programs.', 'The applicant claiming support for Eco/organic certification should have been certified as per the National Programme for Organic Production (NPOP) standards, even if they are certified as per various international standards like EU Regulation, NOP (National Organic Programme of USA), JAS (Japanese Agriculture Standards), etc.', 'The applicant should obtain the Certificate only from the Certification Agencies accredited by the respective Certification Programmes during the MTF period.']",https://www.myscheme.gov.in/schemes/cdpnerqucsecoc,Ministry Of Commerce And Industry,"Agriculture, DBT, Farmer, Subsidy"
NSAP - Indira Gandhi National Old Age Pension Scheme,"['The applicant should be a citizen of India.', 'The applicant should be living Below Poverty Line.', 'The applicant should be at least 60 years of age.']",https://www.myscheme.gov.in/schemes/nsap-ignoaps,Ministry Of Rural Development,"BPL, Pension, Senior Citizen, Social Welfare"
Shram Kalyan Shaikshanik Chatravriti Yojana,"['The applicant must be a permanent resident of Madhya Pradesh.', 'The parents of the applicant should be employed in a factory or institution established in Madhya Pradesh under the Labor Welfare Fund Act, 1982.', 'Only 2 children of a family are eligible to get the benefits of this scheme.', 'Children of officers and employees working in institutions with managerial capacity are not eligible to get the benefit of this scheme.']",https://www.myscheme.gov.in/schemes/skscy,Madhya Pradesh,"Financial Assistance, Higher Education, Student Finance"
Jai Johar (Old Age Pension) Scheme,"['The applicant should be a permanent resident of West Bengal.', 'The applicant should belong to the Scheduled Tribe (ST) category.', 'The applicant should have attained the age of 60 years or more.', 'The applicant should not be a beneficiary under any other Social Security pension scheme.', 'The applicant should not be a recipient of Government pension or pension from any other organization.']",https://www.myscheme.gov.in/schemes/jjoaps,West Bengal,"Financial Assistance, Pension, Scheduled Tribe, Senior Citizen, Social Welfare"
Assistance For Delivery / Miscarriage Of Pregnancy / Termination Of Pregnancy To Female Differently Abled Person,['Differently abled person holding identity card issued by the welfare board for the differently abled.'],https://www.myscheme.gov.in/schemes/admptpfdap,Tamil Nadu,"Delivery, Differently Abled Person, Female, Miscarriage, Pregnancy"
